Show Date	Artist	Supporting Acts	Venue	Setlist.fm URL	Playlist URL	Match Type	YT Title	Notes / Memories
2026-01-11	Ana Popovic		Rams Head On Stage	https://www.setlist.fm/setlist/ana-popovi/2026/rams-head-on-stage-annapolis-md-434f67bf.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKxh-vqodYy5l2HAY-Cg3je	Playlist (5 videos)	Ana Popovic LIVE @ Rams Head (MD) 1/11/26	Dance To The Rhythm Tour; matinee
2026-01-31	Kingsley Flood	Hannah Honeycutt	Jammin' Java	https://www.setlist.fm/setlist/kingsley-flood/2026/jammin-java-vienna-va-2b4bacba.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-9qRYp7ISf4w3k3V5E0on	Playlist (9 videos)	Kingsley Flood LIVE @ Jammin' Java (VA) 1/31/26	
2026-02-14	Vanessa Collier		Rams Head On Stage	https://www.setlist.fm/setlist/vanessa-collier/2026/rams-head-on-stage-annapolis-md-734bdaad.html		4 video(s) found	Vanessa Collier LIVE - Sweatin' Like a Pig, Singin' Like an Angel (bootleg) | Vanessa Collier LIVE - Bloodhound (bootleg) | Vanessa Collier LIVE - When It Don't Come Easy (bootleg) ... (+1 more)	Jennifer and Lary at table; 4-ticket order split evenly
2026-02-19	Mohini Dey		The Birchmere	https://www.setlist.fm/setlist/mohini-dey/2026/the-birchmere-alexandria-va-434b4777.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIrBfrFMqc2hflHRYxRUeEr	Playlist (4 videos)	Mohini Dey LIVE @ Birchmere (VA) 2/19/26	Hat autograph: Mohini Dey.
2026-02-21	Matteo Mancuso		Hamilton Live	https://www.setlist.fm/setlist/matteo-mancuso/2026/the-hamilton-live-washington-dc-6b4bdaa2.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOY4QvTfNsXWVLCZ2_T4xt	Playlist (5 videos)	Matteo Mancuso LIVE @ Hamilton Live (DC) 2/21/26	Route96 Tour; promo code SILKROAD
2026-02-23	Billy Gibbons		The Birchmere	https://www.setlist.fm/setlist/billy-gibbons-and-the-bfgs/2026/the-birchmere-alexandria-va-1b4f3574.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJUiDOYiGCbP2dTVU7sEd7h	Playlist (8 videos)	Billy Gibbons LIVE @ Birchmere (VA) 2/23/26	Birthday; Meet & Greet VIP Experience + standard ticket
2026-03-07	Albert Castiglia		Rams Head On Stage	https://www.setlist.fm/setlist/albert-castiglia/2026/rams-head-on-stage-annapolis-md-b4865a2.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL-ciW4iOu0X5M1AcpEsnNm	Playlist (5 videos)	Albert Castiglia LIVE @ Rams Head (MD) 3/7/26	Matinee; with Lary; ticket bartered with friend
2026-03-11	Sue Foley	Scott Tournet	Hamilton Live	https://www.setlist.fm/setlist/sue-foley/2026/the-hamilton-live-washington-dc-2b49a0ba.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK1QRya3q0fMDdldwavQMOv	Playlist (10 videos)	Sue Foley LIVE @ Hamilton Live (DC) 3/11/26	Promo code OHBABY
2026-03-18	Taj Farrant		Rams Head On Stage	https://www.setlist.fm/setlist/taj-farrant/2026/rams-head-on-stage-annapolis-md-5b49e780.html		7 video(s) found	Taj Farrant LIVE - Purple Rain (bootleg) | Taj Farrant LIVE - Mumma Raised a Man (bootleg) | Taj Farrant LIVE - Ain't No Sunshine (bootleg) ... (+4 more)	M&G add-on available via AXS
2026-03-20	Danielle Nicole	Brody Buster	Hamilton Live	https://www.setlist.fm/setlist/danielle-nicole/2026/the-hamilton-live-washington-dc-33492cc1.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK3qhHKzR5rVBeqtngvi8bL	Playlist (7 videos)	Danielle Nicole Band LIVE @ Hamilton Live (DC) 03/20/26	Arrived just before 6, 12th in line. Walked in with Bob Lubbehusen and Ed Warburton — they saved a seat. She played one song using an all-white right-handed bass with an embedded working neon tube that had been built for Dusty Hill of ZZ Top.
2026-03-21	ZZ Ward	The Jesse Williams Band	The Birchmere	https://www.setlist.fm/setlist/zz-ward/2026/the-birchmere-alexandria-va-13492945.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIk2rhlv1Qix5WAIv7VS2sh	Playlist (10 videos)	ZZ Ward LIVE @ Birchmere (VA) 3/21/26	VIP merch: last 2 LPs (most recent autographed), poster, lanyard. Hat signed by Jesse Williams (supporting act, not in Musicbrainz).
2026-03-28	Joanne Shaw Taylor		Rams Head On Stage	https://www.setlist.fm/setlist/joanne-shaw-taylor/2026/rams-head-on-stage-annapolis-md-4b4f67b6.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJS_3J_95MsgUrbC8imcUp2	Playlist (6 videos)	Joanne Shaw Taylor LIVE @ Rams Head (MD) 3/28/26	Sold 1 of 2 tickets via AXS resale 3/23/26; $101.75 payout pending. Food off-site: Crystal Thai $40. Photobomb photo w/ Shane Sanders and JST.
2026-03-29	Selwyn Birchwood		Collective Encore	https://www.setlist.fm/setlist/selwyn-birchwood/2026/the-collective-encore-columbia-md-5376b7d9.html	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIZnMv8L1lmg--gJ4Q37YSt	Playlist (4 videos)	Selwyn Birchwood LIVE @ Collective Encore (MD) 03/29/26	RHBS signed by Selwyn Birchwood and Regi Oliver; CD & sticker merch
